               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.077966,            0.024548,             0.05423,             0.17975,             0.64797,             0.32671,             0.13459,            0.049985,           0.0092643,            0.044347,            0.070268,           0.0033036,           0.0033036
                   1,            0.058151,            0.015333,            0.039692,             0.35198,             0.76096,             0.54887,             0.22604,            0.050198,           0.0062805,            0.028695,            0.040202,           0.0065712,           0.0065712
                   2,            0.058188,            0.012346,            0.023789,             0.56237,             0.74786,             0.67234,             0.25167,            0.058494,           0.0055829,           0.0099567,             0.01007,           0.0097728,           0.0097728
                   3,             0.05553,            0.011745,             0.01683,             0.65668,             0.79157,             0.72422,             0.23323,             0.05687,           0.0069588,           0.0053678,            0.009703,            0.009703,            0.009703
                   4,            0.050723,             0.01142,             0.01298,             0.68922,             0.83801,             0.80587,             0.30939,            0.045133,           0.0066089,           0.0072293,            0.009703,            0.009703,            0.009703
                   5,            0.048332,            0.011156,            0.011233,             0.88571,             0.87843,             0.87265,             0.32732,            0.048857,           0.0059637,           0.0038854,            0.009604,            0.009604,            0.009604
                   6,             0.04772,             0.01092,            0.010836,             0.84865,             0.82783,             0.80815,             0.34485,            0.045884,           0.0057279,           0.0058947,            0.009505,            0.009505,            0.009505
                   7,            0.045952,            0.010872,           0.0099206,             0.73243,             0.80693,             0.74014,             0.27501,            0.053937,           0.0058765,           0.0056786,            0.009406,            0.009406,            0.009406
                   8,            0.044191,            0.010759,           0.0091404,             0.80345,             0.86238,             0.85986,             0.32908,            0.047437,           0.0055784,           0.0018186,            0.009307,            0.009307,            0.009307
                   9,            0.043108,            0.010409,           0.0092105,             0.83249,             0.82082,             0.80147,             0.26464,            0.050682,           0.0062003,            0.002281,            0.009208,            0.009208,            0.009208
                  10,             0.04226,            0.010708,           0.0082369,              0.9356,             0.94607,             0.94124,             0.38916,            0.042372,           0.0054307,           0.0015327,            0.009109,            0.009109,            0.009109
                  11,            0.041715,             0.01016,           0.0078547,             0.95318,             0.94624,             0.95324,             0.38721,            0.045143,           0.0056686,           0.0013739,             0.00901,             0.00901,             0.00901
                  12,            0.040336,            0.010117,           0.0080338,             0.87734,             0.88312,             0.89286,             0.34097,            0.044643,           0.0052519,           0.0014278,            0.008911,            0.008911,            0.008911
                  13,             0.04072,            0.010141,           0.0080838,              0.9521,             0.94015,             0.94623,             0.40716,            0.038901,           0.0054707,           0.0011303,            0.008812,            0.008812,            0.008812
                  14,            0.038492,             0.01002,           0.0072547,             0.95051,             0.94528,             0.96067,             0.40292,            0.043364,           0.0056725,           0.0012999,            0.008713,            0.008713,            0.008713
                  15,            0.039361,            0.010264,           0.0074115,             0.92698,             0.93077,             0.95203,             0.38593,            0.042478,           0.0055874,           0.0013522,            0.008614,            0.008614,            0.008614
                  16,            0.038944,            0.010086,           0.0065224,             0.92064,             0.91391,              0.9309,             0.40371,            0.040829,           0.0053449,           0.0010626,            0.008515,            0.008515,            0.008515
                  17,            0.038767,           0.0099469,           0.0072563,             0.96002,             0.93928,             0.96113,             0.41469,            0.041984,           0.0056609,           0.0012277,            0.008416,            0.008416,            0.008416
                  18,            0.038259,           0.0099966,           0.0071459,              0.9291,             0.92527,             0.92086,             0.37398,            0.041067,           0.0055151,            0.001014,            0.008317,            0.008317,            0.008317
                  19,            0.037939,            0.010168,           0.0070151,             0.95342,             0.94561,             0.94884,             0.43267,            0.042599,           0.0053647,          0.00097823,            0.008218,            0.008218,            0.008218
                  20,            0.037359,            0.010214,           0.0065635,             0.95084,             0.95216,             0.96152,             0.42238,            0.040756,           0.0056098,          0.00096599,            0.008119,            0.008119,            0.008119
                  21,            0.036809,            0.010092,           0.0063046,             0.95699,             0.94252,             0.96071,             0.39446,             0.04145,           0.0053651,           0.0018033,             0.00802,             0.00802,             0.00802
                  22,            0.036464,           0.0097208,           0.0057252,             0.94281,             0.93142,             0.94319,             0.36684,            0.041294,           0.0053761,          0.00087046,            0.007921,            0.007921,            0.007921
                  23,             0.03752,           0.0097312,           0.0065642,              0.9422,              0.9345,             0.93792,             0.39439,            0.040858,           0.0054986,          0.00091418,            0.007822,            0.007822,            0.007822
                  24,            0.036461,           0.0099061,           0.0062388,             0.97355,             0.96891,             0.98363,             0.45109,            0.038091,           0.0053458,          0.00089821,            0.007723,            0.007723,            0.007723
                  25,            0.036154,           0.0096061,            0.006255,              0.9542,             0.94955,              0.9617,              0.4304,            0.038087,           0.0053583,          0.00074801,            0.007624,            0.007624,            0.007624
                  26,            0.036665,           0.0099496,           0.0056556,             0.96991,             0.96224,             0.97507,             0.43561,            0.038654,           0.0053179,          0.00082917,            0.007525,            0.007525,            0.007525
                  27,             0.03525,           0.0097165,           0.0054962,             0.95542,             0.94913,             0.95438,             0.46344,            0.037887,           0.0052151,          0.00069368,            0.007426,            0.007426,            0.007426
                  28,            0.035409,           0.0097052,           0.0049727,             0.94724,             0.95964,             0.96884,             0.43997,             0.03863,           0.0053757,          0.00072538,            0.007327,            0.007327,            0.007327
                  29,             0.03583,           0.0094384,           0.0052673,             0.96076,             0.95577,             0.97189,             0.44218,            0.037913,           0.0053669,          0.00091995,            0.007228,            0.007228,            0.007228
                  30,            0.034835,           0.0095097,            0.004762,              0.9411,              0.9347,             0.95005,              0.4145,             0.03942,           0.0054753,          0.00095901,            0.007129,            0.007129,            0.007129
                  31,            0.034566,            0.009666,           0.0046376,             0.94957,              0.9439,             0.94812,             0.43394,            0.037163,           0.0051845,          0.00065252,             0.00703,             0.00703,             0.00703
                  32,            0.034137,            0.009087,           0.0052851,             0.89891,             0.89005,             0.89799,               0.393,            0.040208,           0.0053639,          0.00063124,            0.006931,            0.006931,            0.006931
                  33,            0.034676,           0.0097197,           0.0051394,             0.97365,             0.96611,             0.97719,              0.4339,            0.037242,            0.005188,          0.00059279,            0.006832,            0.006832,            0.006832
                  34,            0.034354,           0.0097407,            0.005324,             0.95229,              0.9499,             0.95668,             0.41025,            0.039224,           0.0054001,          0.00054983,            0.006733,            0.006733,            0.006733
                  35,            0.034484,           0.0093435,           0.0046597,             0.90233,             0.91269,             0.91915,             0.40727,            0.039796,            0.005334,          0.00052028,            0.006634,            0.006634,            0.006634
                  36,            0.033792,           0.0093099,           0.0042695,             0.95092,             0.94442,             0.94892,             0.43525,            0.038901,           0.0052828,          0.00056421,            0.006535,            0.006535,            0.006535
                  37,            0.033674,           0.0091123,           0.0045235,             0.92735,             0.93529,             0.94607,             0.44159,            0.037529,           0.0052147,           0.0019834,            0.006436,            0.006436,            0.006436
                  38,            0.034497,           0.0094069,            0.004941,             0.96331,             0.95298,             0.96025,             0.43396,            0.038522,            0.005224,          0.00060511,            0.006337,            0.006337,            0.006337
